45;143457;BROXOL ALERG;AMBROXOL CLOHIDRATO-LORATADINA;30mg-5MG/5ML X100 ML;LA SANTE;143.34;165.62;0.00
46;143108;BROXOL FLEM GOTAS PED;CARBOXIMETILCISTENIA;50MG X 30 ML;LA SANTE;91.67;113.82;0.00
47;140291;BROXOL GRIP JBE PED;ACETAMINOFEN - CLORFENIRAMINA;125-1MG/5ML X 120 ML;LA SANTE;75.48;125.78;0.00
48;141808;BROXOL GRIP PLUS;ACETAMINOFEN-PSEUDOEFE-LORAT;TAB X 10;LA SANTE;0.00;8.85;0.00
49;144853;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;3-1MG FRUTOS ROJOS TAB X 10;LA SANTE;77.39;89.42;0.00
50;144855;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;3-1MG MIEL-LIMON TAB X 10;LA SANTE;77.39;89.42;0.00
51;144854;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;3-1MG MENTA TAB X10;LA SANTE;71.30;89.42;0.00
52;144858;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;0.15%-0.25% X 120ML S.ORAL MIEL LIMON;LA SANTE;51.50;94.64;0.00
53;144856;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;0.15%-0.25% X 120ML S.ORAL F.ROJOS;LA SANTE;51.50;94.64;0.00
54;144857;BUCOXOLGAR;CLORH BENCID-CLORURO CETILP;0.15%-0.25% X 120ML S.ORAL MENTA;LA SANTE;51.50;94.64;0.00
55;140299;BUMETIN RETARD;BUMETIN RETARD;300MG X 20 TAB;PHARMETIQUE;243.67;287.12;0.00
56;141223031;CAMPAL CREMA (DICLOFENAC S.);CAMPAL CREMA (DICLOFENAC S.);1% X 20 G USO TOPICO;MEYER;36.99;101.90;0.00
57;144720;CANDESARTAN CILEXETILO;CANDESARTAN CILEXETILO;16MG X 10 TAB;LA SANTE;88.90;103.12;0.00
58;11262;CANFIR LP;METFORMINA;500MG X 30 COMP;LETI;180.72;298.49;0.00
59;140307;CAPTOPRIL;CAPTOPRIL;25MG X 20 TAB;LA SANTE;44.92;59.37;0.00
60;SM28;CAPTOPRIL;CAPTOPRIL;50MG X 30 TAB;SM PHARMA;0.00;6.21;0.00
61;27826;CARBAMAZEPINA;CARBAMAZEPINA;200MG X 30 COMP;GENVEN;99.81;186.11;0.00
62;807975;CARBATIL;CARVEDILOL;12,5MG X 10 TAB;BIOTECH;0.00;50.00;0.00
63;11105;CARIBAN;PIRIDOXINA-DOXILAMINA;10MG-10MG X 30 COMP;LETI;140.25;167.38;0.00
64;37022;CEFADROXILO;CEFADROXILO;500MG X 20 CAP;GENVEN;264.81;511.41;0.00
65;140313;CEFADROXILO;CEFADROXILO;500MG X 12 CAP;LA SANTE;164.71;191.07;0.00
66;140312;CEFADROXILO SUSPENSION;CEFADROXILO SUSPENSION;250MG/5ML X 60ML PPS;LA SANTE;93.47;155.17;0.00
67;140319;CETIRIZINA;CETIRIZINA;10MG X 10 TAB;LA SANTE;40.26;45.81;0.00
68;140321;CETIRIZINA JARABE;CETIRIZINA JARABE;5MG/5ML X 60 ML;LA SANTE;50.96;59.48;0.00
69;151150051;CETRAL;CETIRIZINA;10MG/10ML SOL GOTAS X 10 ML;MEYER;50.72;54.85;0.00
70;150110091;CETRAL-D SOLUCION;CETRAL-D SOLUCION;X 60 ML;MEYER;108.48;117.32;0.00
71;VNQ2;CIPROFLOXACINA;CIPROFLOXACINA;500MG X 6 TAB;VENEQUIMEX;0.00;41.93;0.00
72;140328;CIPROFLOXACINA;CIPROFLOXACINA;500MG X 6 TAB;LA SANTE;36.22;72.47;0.00
73;140334;CLARITROMICINA;CLARITROMICINA;500MG X 10 TAB;LA SANTE;180.01;208.81;0.00
74;140335;CLINDAMICINA;CLINDAMICINA;300MG X 16 TAB;LA SANTE;147.56;234.47;0.00
75;140339;CLOTRIM+NEOMIC+DEXAMETA;CLOTRIM+NEOMIC+DEXAMETA;20MG CREMA;LA SANTE;133.34;154.37;0.00
76;SM32;CLOTRIMAZOL;CLOTRIMAZOL;1% CREMA 20 G;SM PHARMA;0.00;46.36;0.00
77;140346;DAKSOL (SECNIDAZOL);DAKSOL (SECNIDAZOL);500MG X 4 TAB;PHARMETIQUE;62.83;71.88;0.00
78;144895;DESLER;DESLER;5MG X 10 TAB;PHARMETIQUE;54.21;82.83;0.00
79;142730;DESLER M;DESLER M;5MG-10MG X 30 TAB;PHARMETIQUE;542.74;620.89;0.00
80;144838;DESLER M;DESLER M;5MG-10MG X 10 TAB;PHARMETIQUE;169.97;189.76;0.00
81;142732;DESLER M SOBRE PED;DESLER M SOBRE PED;1,25-4MG X 30 SOB;PHARMETIQUE;234.46;268.22;0.00
82;144836;DESLER M SOBRE PED;DESLER M SOBRE PED;1,25-4MG X 10 SOB;PHARMETIQUE;87.16;130.75;0.00
83;144896;DESLER PED JARABE;DESLER PED JARABE;0;PHARMETIQUE;80.95;92.61;0.00
84;140358;DESLORATADINA;DESLORATADINA;5MG X 10 TAB;LA SANTE;27.08;53.34;0.00
85;140357;DESLORATADINA  JARABE;DESLORATADINA  JARABE;2,5 MG/5ML JBE X 60 ML;LA SANTE;47.49;85.04;0.00
86;SM35;DESLORT (DESLORATADINA JARABE);DESLORT (DESLORATADINA JARABE);0,5 MG/ML X 60 ML;SM PHARMA;0.00;1.67;0.00
87;140362;DIANALPER GEL;DICLOFENAC DIETILAMINO;1.16% X 50G GEL;LA SANTE;63.72;13.34;0.00
88;SM36;DICLOFEN (DICLOFENAC POTASICO);DICLOFEN (DICLOFENAC POTASICO);50 MG X 20 TAB;SM PHARMA;0.00;20.93;0.00
89;VNQ3;DICLOFENAC SODICO;DICLOFENAC SODICO;50MG X 20 TAB;VENEQUIMEX;0.00;28.51;0.00
90;217031031;DIFEN PLUS;DIFEN PLUS;X 10 TAB;MEYER;53.46;78.89;0.00
91;11918;DIGLET;VITAMINA D3;1000 UI X 30 COMP SABOR FRESA;LETI;156.41;212.07;0.00
92;220160131;DOCE-PLEX ELIXIR;DOCE-PLEX ELIXIR;X120 ML;MEYER;64.87;178.70;0.00
93;SM37;DOMPIDOM (DOMPERIDONA);DOMPIDOM (DOMPERIDONA);10MG X 30 TAB;SM PHARMA;0.00;17.71;0.00
94;140373;ENALAPRIL;ENALAPRIL;20MG X 20 TAB;LA SANTE;43.71;50.70;0.00
95;142791;ESOZ;ESOZ;40MG X 14 TAB;PHARMETIQUE;132.26;170.44;0.00
96;142789;ESOZ;ESOZ;20MG X 14 TB;PHARMETIQUE;121.49;140.37;0.00
97;144840;ESOZ;ESOZ;40MG X 7 CAP;PHARMETIQUE;89.65;115.52;0.00
98;144839;ESOZ;ESOZ;20MG X 7 CAP;PHARMETIQUE;50.60;90.68;0.00
99;243031033;ESPIRONOLACTONA;ESPIRONOLACTONA;100MG X 10 TAB;MEYER;89.31;302.84;0.00
100;242031073;ESPIRONOLACTONA;ESPIRONOLACTONA;25MG X 20 TAB;MEYER;58.76;161.87;0.00
101;140391;FLUCONAZOL;FLUCONAZOL;150MG X 2 CAP;LA SANTE;48.94;55.80;0.00
102;140393;FLUDIL;FLUDIL;10MG X 20 TAB;PHARMETIQUE;160.33;183.42;0.00
104;PT3314;FOLAC;ACIDO FOLICO;10 MG X 20 TAB;RONAVA;0.00;62.40;0.00
105;PT3363;FOLIFER B-12;FOLIFER B-12;X 30 TAB;RONAVA;0.00;136.50;0.00
106;299031093;FUROSEMIDA;FUROSEMIDA;40MG X 24 TAB;MEYER;92.56;158.92;0.00
107;298031043;FUROSEMIDA;FUROSEMIDA;20MG X 12 TAB;MEYER;31.60;99.66;0.00
108;SM38;GABALEB;GABAPENTINA;300MG X 20 TAB;SM PHARMA;0.00;44.86;0.00
109;140398;GENTAMICINA;GENTAMICINA;0,1% X 15 GRAMOS CREMA;LA SANTE;53.88;97.57;0.00
110;140402;GLIMEPIRIDE;GLIMEPIRIDE;2MG X 16 TAB;LA SANTE;67.68;88.91;0.00
111;140404;GLIMEPIRIDE;GLIMEPIRIDE;4MG X 16 TAB;LA SANTE;93.28;107.99;0.00
112;140410;GLIMERID;GLIMERID;4MG X 30 TAB;PHARMETIQUE;194.61;222.63;0.00
113;144845;GLIMERID;GLIMERID;4MG X 10 TAB;PHARMETIQUE;57.41;88.77;0.00
114;140414;GLUSTAR;GLUSTAR;10MG X 14 TAB;PHARMETIQUE;55.41;87.55;0.00
115;SM40;HARIDOL (HALOPERIDOL);HARIDOL (HALOPERIDOL);5 MG X 20 COMP;SM PHARMA;0.00;7.33;0.00
116;361110131;HEPAFOL FORTE JARABE;HIERRO - VIT B12;150MG-0,015MG X 120 ML;MEYER;87.26;275.26;0.00
117;360110131;HEPAFOL JARABE;HIERRO - VIT B12;66MG-0,150MG X120ML;MEYER;165.42;244.66;0.00
118;396011201;IBANDROMET;ACIDO IBANDRONICO;150MG X 1 TAB;MEYER;61.09;192.69;0.00
119;144847;IBUPROFENO;IBUPROFENO;200MG X 10 TAB;LA SANTE;40.61;46.97;0.00
120;VNQ4;IBUPROFENO;IBUPROFENO;400MG X 20 TAB;VENEQUIMEX;0.00;51.43;0.00
121;140621;IBUPROFENO;IBUPROFENO;800 MG X 10 TAB;LA SANTE;119.28;136.46;0.00
122;386120091;IBUTAN;IBUPROFENO;200MG/5ML X 60 ML SUSP. PED;MEYER;36.43;91.16;0.00
123;385120091;IBUTAN;IBUPROFENO;100MG/5ML X 60 ML JBE PED;MEYER;57.89;65.56;0.00
124;394031031;IBUTANMIGRA;DIHIDROERGOTAMINA+IBUPROFENO;X 10 TABLETAS;MEYER;61.16;77.32;0.00
125;390043221;IMAZOL POLVO;CLOTRIMAZOL;1%X 20G;MEYER;38.54;56.44;0.00
126;390331011;IMAZOL;CLOTRIMAZOL;100MG X6 CAP BLANDAS VAGINALES;MEYER;18.19;50.11;0.00
127;142361;IRBESARTAN;IRBESARTAN;150MG X 10 TAB;LA SANTE;94.55;109.68;0.00
128;147031232;KAPET;CLOPIDOGREL;75MGX 14 TAB;MEYER;65.39;96.50;0.00
129;140435;KETOPROFENO;KETOPROFENO;100MG X 20 CAP;LA SANTE;85.32;113.94;0.00
130;17078;KETOPROFENO;KETOPROFENO;100MG/2ML X 2 AMPOLLAS;GENVEN;98.55;199.22;0.00
131;140445;LEPRIT;LEPRIT;25MG X 30 TAB;PHARMETIQUE;154.19;178.16;0.00
132;142741;LEVOCETIRIZINA DICLORHIDRATO;LEVOCETIRIZINA DICLORHIDRATO;5MG X 10 TAB;LA SANTE;50.74;68.87;0.00
133;538031031;LOFLOX;LOMEFLOXACINA;400MG X 10 TAB;MEYER;21.76;37.00;0.00
134;538031221;LOFLOX;LOMEFLOXACINA;400MG X 5 TAB;MEYER;14.80;21.68;0.00
135;11222;LONGACEF;CEFIXIMA;400MG X 5 CAP;LETI;820.79;1545.64;0.00
136;143669;LORATADINA;LORATADINA;10MG X 20 TAB;LA SANTE;51.83;59.89;0.00
137;140463;LOSARTAN POTASICO;LOSARTAN POTASICO;50MG X 14 TAB;LA SANTE;41.17;48.28;0.00
138;144651;LOSARTAN POTASICO;LOSARTAN POTASICO;100MG X 10 TAB;LA SANTE;46.01;53.37;0.00
139;140459;LOSARTAN+HTCZ;LOSARTAN+HTCZ;50/12,5MG X 15 TAB;LA SANTE;56.92;75.98;0.00
140;SM44;MEDIGRIP DIA;ACETAMINOFEN-CLORFENIRAMINA-CAFEINA;500MG-2MG-30MG X 10 TAB;SM PHARMA;24.50;47.36;0.00
141;140465;MELOXICAM;MELOXICAM;15MG X 10 TAB;LA SANTE;76.15;88.34;0.00
142;SM45;METORMIN (METFORMINA) BLISTER;METORMIN (METFORMINA) BLISTER;500MG X 10TAB;SM PHARMA;0.00;0.00;0.00
143;519120131;METREN;METRONIDAZOL;250MG/5ML SUSP 120 ML;MEYER;116.49;190.02;0.00
144;518120131;METREN;METRONIDAZOL;125MG/5ML SUSP 120 ML;MEYER;86.09;120.96;0.00
145;SM46;METRONIDAZOL;METRONIDAZOL;500MG X 10 TAB;SM PHARMA;0.00;1.94;0.00
146;IPS1;METRONIDAZOL ENDOVENOSO;METRONIDAZOL ENDOVENOSO;500ML/100ML;IPS;0.00;52.00;0.00
147;PT3413;METSIGLIN;METFORMINA-SITAGLIPTINA;500MG/50MG X 10;RONAVA;0.00;169.00;0.00
148;SM47;MICOFEET ( TALCO ANTIMICOTICO PIES);MICOFEET ( TALCO ANTIMICOTICO PIES);X 115 G;SM PHARMA;0.00;6.79;16.00
149;41573;MIGREN;ACETAMINOFEN-CAFEINA-DIHIDROERG;650MG-50MG-1MG X20 CAP;LETI;57.56;153.02;0.00
150;11092;MONOSULPA;MONOSULPA;SOL NASAL X 15 ML;LETI;204.57;244.13;0.00
151;SM48;MONTECORT;MONTECORT;10MG X 30 TAB;SM PHARMA;53.90;95.74;0.00
152;144843;MONTELUKAST;MONTELUKAST;5MG X 10 TAB MAST;LA SANTE;48.90;66.00;0.00
153;144842;MONTELUKAST;MONTELUKAST;10MG X 10 TAB;LA SANTE;36.16;60.33;0.00
154;140489;MOXIFLOXACINA;MOXIFLOXACINA;400MG X 7 TAB;LA SANTE;216.89;326.13;0.00
155;523021101;MULTIVIRAL;MULTIVIRAL;CAPS X 30 TAB;MEYER;167.22;217.37;0.00
156;524233021;MUPROBAN;MUPIROCIN;2% X 15 G UNGUENTO;MEYER;138.35;190.51;0.00
157;;NASIN (OXIMETASOLINA);NASIN (OXIMETASOLINA);0,025%-SOL NASAL X 15 ML;LETI;88.39;0.00;0.00
158;3150041;NONAFOL;ACIDO FOLICO;10MG/ML X 15ML SOL GOTAS PED;MEYER;87.89;129.99;0.00
159;529031041;NOXPIRIN GRIP TABLETA;NOXPIRIN GRIP TABLETA;X12 TAB;MEYER;79.71;105.30;0.00
160;529150041;NOXPIRIN SOL GOTAS;NOXPIRIN SOL GOTAS;80MG-0,4MG X 15ML;MEYER;55.60;75.85;0.00
161;144849;OLMESARTAN MEDOXOMIL;OLMESARTAN MEDOXOMIL;20MG X 10 TAB;LA SANTE;53.91;62.60;0.00
162;144850;OLMESARTAN MEDOXOMIL;OLMESARTAN MEDOXOMIL;40MG X 10 TAB;LA SANTE;88.82;103.13;0.00
163;140501;OMEPRAZOL;OMEPRAZOL;20MG X 8 CAP;LA SANTE;46.05;53.41;0.00
164;11255;OXIDREN;RISEDRONATO SODICO;150MG X 1 COMP;LETI;213.41;254.69;0.00
165;579263051;PERTEN;TERBINAFINA;1% GEL TOPICO X20 GRAMOS;MEYER;96.89;143.22;0.00
166;579031071;PERTEN;TERBINAFINA;250MG X 20 TAB;MEYER;221.78;327.82;0.00
167;579180061;PERTEN;TERBINAFINA;1% SOL ATOMIZADOR X 30 ML;MEYER;130.32;192.63;0.00
168;140505;PIROXICAM;PIROXICAM;20MG X 10 CAP;LA SANTE;52.64;75.22;0.00
169;;SECNIDAZOL;SECNIDAZOL;1GR X 2 TAB;GENVEN;0.00;0.00;0.00
170;140518;SERTRALINA;SERTRALINA;50MG X 10 TAB;LA SANTE;61.65;80.87;0.00
171;500031071;SIGTIPHIN;FLAVOXATO HCL;200MG X 20 TAB;MEYER;71.11;202.72;0.00
172;IPS2;SOLUCION FISIOLOGICA;SOLUCION FISIOLOGICA;0.9% X 500ML SOL INYECT;IPS;0.00;54.22;0.00
173;IPS3;SOLUCION RINGER;SOLUCION RINGER;500 ML;IPS;0.00;61.49;0.00
174;;TADAFOX;TADAFOX;20MG X 1 TAB;NO UTILIZAR - VALMORCA;0.00;0.00;0.00
175;;TADAFOX;TADAFOX;5MG X 30 TAB;NO UTILIZAR - VALMORCA;0.00;0.00;0.00
176;143134;TADALAFILO;TADALAFILO;20MG X 1 TAB;LA SANTE;22.85;24.22;0.00
177;144989;TALYSTO (tadalafilo);TALYSTO (tadalafilo);20MG X 1 TABLETA MASTICABLE;PHARMETIQUE;25.89;29.62;0.00
178;SM52;TENLOR (LOSARTAN POTASICO);TENLOR (LOSARTAN POTASICO);100MG X 10 TAB;SM PHARMA;0.00;1.62;0.00
179;SM51;TENLOR (LOSARTAN POTASICO);TENLOR (LOSARTAN POTASICO);100 MG X 20 TAB;SM PHARMA;0.00;0.00;0.00
180;11190;TENSOPIN;NIFEDIPINA;20MG/ML X 20ML SOL GOTAS;LETI;20.92;303.03;0.00
181;680031231;TIAZOMETS;EZETIMIBE-SIMVASTATINA;10MG-20MG X 14 TAB;MEYER;120.29;168.84;0.00
348;2031033;ACIDO FOLICO;ACIDO FOLICO;5MG X 10 TAB;MEYER;22.44;28.94;0.00
183;SM53;TIOFEN (BLISTER);TIOFEN (BLISTER);600MG/4 MG X 10 TAB;SM PHARMA;0.00;67.41;0.00
184;140559;TIOCOLFEN;IBUPROFENO - TIOCOLCHICOSIDO;600MG-4MG X 15 TAB;PHARMETIQUE;174.32;218.05;0.00
185;144841;TIOCOLFEN;IBUPROFENO - TIOCOLCHICOSIDO;600MG-4MG X 10 TAB;PHARMETIQUE;139.67;161.38;0.00
186;682031121;TIROXIN;LEVOTIROXINA;50 MCG x 50 TAB;MEYER;81.24;275.46;0.00
187;681031121;TIROXIN;LEVOTIROXINA;100 MCG x 50 TAB;MEYER;101.95;290.64;0.00
188;SM55;TRIMETOPRIM-SULFA SUSP;TRIMETOPRIM-SULFA SUSP;400MG/200MG SUSPENSION;SM PHARMA;0.00;5.77;0.00
189;140565;TRIPUR (TRIMETOPRIM-SULFA);TRIPUR (TRIMETOPRIM-SULFA);80MG-400MG X 20 TAB;PHARMETIQUE;60.69;98.01;0.00
190;140570;VALSARTAN;VALSARTAN;80 MG X 14 TAB;LA SANTE;45.10;85.91;0.00
191;140568;VALSARTAN+ HTCZ;VALSARTAN+ HTCZ;80MG-12,5MG X 14 TAB;LA SANTE;79.89;92.68;0.00
290;NONO2;LEVEMIR;INSULINA DETEMIR ADNR;100 U/ML X 5 FLEX PEN;NOVO NORDISK;0.00;0.00;0.00
423;1001001;CEFADROXILO;CEFADROXILO;500MG X 12 TAB;CALOX;116.85;228.93;0.00
196;BIOD1;GLUTADOSE WELLNESS;GLUTADOSE WELLNESS;X 30 VIALES;BIODOSE;0.00;0.00;16.00
194;SM10;ALBEZOL;ALBENDAZOL;400MG/10ML X 10ML MONODOSIS;SM PHARMA;19.60;34.82;0.00
289;SANOF2;LANTUS;INSULINA GLARGINA;100 U/ML X 1 UND;SANOFI;0.00;0.00;0.00
197;3401003;ALPRAZOLAM;ALPRAZOLAM;1MG X 40 TAB;CALOX;0.00;17.58;0.00
198;2001003;AMLODIPINA;AMLODIPINA;10MG X 30 TAB;CALOX;64.58;94.46;0.00
199;20000004;ANTAAR;BISOPROLOL FUMARATO;5MG X 30 TAB;CALOX;118.33;187.81;0.00
200;12801004;CARVEDILOL;CARVEDILOL;25MG X 14 TAB;CALOX;65.27;137.20;0.00
201;14601001;CALOXPIRINA;ACIDO ACETIL SALICILICO;81 MG X 30 TAB;CALOX;85.45;132.55;0.00
202;13001001;DEFLAZACORT;DEFLAZACORT;6 MG X 10 TAB;CALOX;142.20;201.93;0.00
203;20000007;DISULPEC;LEVOSULPIRIDE;25 MG X 20 TAB;CALOX;73.69;114.30;0.00
204;15301001;DIOSMINA;DIOSMINA;600MG X 14 TAB;CALOX;201.95;286.78;0.00
205;23701002;DOLGRIP FORTE;ACETAMINOF-PSEUDOEFEDRINA-CLORFERNI;500mg-30mg-2mg X 10 TAB;CALOX;77.51;153.57;0.00
206;2201008;ENALAPRIL;ENALAPRIL;20 MG X 30 TAB;CALOX;48.56;79.30;0.00
207;19501001;FLAVOXATO;FLAVOXATO;200MG X 10 TAB;CALOX;81.59;166.50;0.00
208;49914011;FESTAL;PANCREATINA DE ORIGEN PORCINO;X 20 GRAGEAS;CALOX;174.28;240.28;0.00
209;;(MALO NO USAR) GARDENAL (FENOBARBITAL);(MALO NO USAR) GARDENAL (FENOBARBITAL);100 MG X 30 TAB;CALOX;0.00;13490000.00;0.00
210;49914008;GARDENAL;FENOBARBITAL;100MG X 60 TAB;CALOX;0.00;0.00;0.00
211;49914007;HEXOMEDINE COLUTORIO;HEXOMEDINE COLUTORIO;30 GRAMOS (PUFF);CALOX;186.62;249.85;0.00
212;49914009;LASIX;FUROSEMIDA;20MG X 24 TAB;CALOX;108.34;153.84;0.00
213;3002002;LANSOPRAZOL;LANSOPRAZOL;30MG X 28 CAP;CALOX;111.37;150.24;0.00
214;8601002;METFORMINA;METFORMINA;850MG X 28 TAB;CALOX;86.36;176.23;0.00
215;8601001;METFORMINA;METFORMINA;500MG X 28 TAB;CALOX;69.96;157.40;0.00
216;10701001;PANTOPRAZOL;PANTOPRAZOL;20MG X 7 TAB;CALOX;36.26;53.01;0.00
217;10701002;PANTOPRAZOL;PANTOPRAZOL;40MG X 7 TAB;CALOX;40.68;64.61;0.00
218;5001003;PREDNISONA;PREDNISONA;50 MG X 10 TAB;CALOX;87.99;171.03;0.00
219;5001002;PREDNISONA;PREDNISONA;5 MG X 30 TAB;CALOX;72.74;112.83;0.00
220;15901001;RISPERIDONA;RISPERIDONA;2 MG X 20 TAB;CALOX;84.11;107.78;0.00
221;TERIN1;TERMOMETRO INFRARROJO;TERMOMETRO INFRARROJO;INFRARROJO DIGITAL (+IVA);CLOC;0.00;788.91;16.00
222;CLP1;CLOROMULTIUSOS (ULTRACONCENTRADO);CLOROMULTIUSOS (ULTRACONCENTRADO);1 PASTILLA(5GR) = 1 LITRO;CLOROPIN;0.00;25.14;0.00
223;DYL2;GUANTES DE LATEX NO ESTERILES;GUANTES DE LATEX NO ESTERILES;X 50 PARES TALLA S;DYNAMIC LIFE;0.00;328.41;0.00
224;DYL1;GUANTES DE LATEX NO ESTERILES;GUANTES DE LATEX NO ESTERILES;X 50 PARES TALLA M;DYNAMIC LIFE;0.00;0.00;0.00
225;140227;AMBROXOL ADULTO;AMBROXOL ADULTO;30MG-5MLX 120 ML;LA SANTE;106.70;123.29;0.00
226;141799;ANALPER FEMPLUS;IBUPROFENO - HIOSCINA;200MG-10MG;LA SANTE;103.52;119.62;0.00
227;140265;ATORVASTATINA;ATORVASTATINA;40 MG X 14 TAB;LA SANTE;118.95;153.38;0.00
228;140269;AZITROMICINA;AZITROMICINA;500MG X 5 TAB;LA SANTE;89.13;101.62;0.00
